logAge   ,Mass,Gmag,BPmag,RPmag
7.50000,0.090000,12.7960,15.5090,11.4610
7.50000,0.093000,12.7500,15.4640,11.4150
7.50000,0.100000,12.6160,15.3310,11.2810
7.50000,0.108000,12.4800,15.1980,11.1450
7.50000,0.120000,12.3050,15.0240,10.9700
7.50000,0.140000,11.9520,14.5500,10.6300
7.50000,0.178000,11.3260,13.6370,10.0410
7.50000,0.197000,11.0870,13.2970,9.8160
7.50000,0.207000,10.9610,13.1170,9.6980
7.50000,0.220000,10.8200,12.9150,9.5660
7.50000,0.229000,10.7210,12.7730,9.4740
7.50000,0.245000,10.5530,12.5410,9.3180
7.50000,0.254000,10.4670,12.4220,9.2380
7.50000,0.283000,10.2230,12.0900,9.0100
7.50000,0.304000,10.0640,11.8720,8.8630
7.50000,0.346000,9.7670,11.4620,8.5900
7.50000,0.350000,9.7420,11.4290,8.5660
7.50000,0.394000,9.4920,11.1080,8.3330
7.50000,0.400000,9.4570,11.0640,8.3010
7.50000,0.434000,9.2790,10.8330,8.1360
7.50000,0.450000,9.2030,10.7350,8.0660
7.50000,0.493000,8.9790,10.4440,7.8590
7.50000,0.500000,8.9490,10.4060,7.8330
7.50000,0.519000,8.8580,10.2860,7.7490
7.50000,0.547000,8.7240,10.1170,7.6260
7.50000,0.550000,8.7100,10.1000,7.6130
7.50000,0.583000,8.5420,9.8860,7.4600
7.50000,0.600000,8.4610,9.7830,7.3850
7.50000,0.612000,8.3990,9.7020,7.3300
7.50000,0.650000,8.1690,9.4090,7.1220
7.50000,0.676000,8.0050,9.1890,6.9780
7.50000,0.700000,7.8480,8.9780,6.8430
7.50000,0.701000,7.8210,8.9370,6.8210
7.50000,0.727000,7.3460,8.2500,6.4440
7.50000,0.750000,6.9530,7.7070,6.1350
7.50000,0.762000,6.8760,7.6150,6.0670
7.50000,0.800000,6.5800,7.2570,5.8080
7.50000,0.829000,6.3160,6.9390,5.5800
7.50000,0.850000,6.1230,6.7080,5.4140
7.50000,0.855000,6.0660,6.6400,5.3660
7.50000,0.881000,5.8110,6.3370,5.1470
7.50000,0.899000,5.6290,6.1230,4.9910
7.50000,0.921000,5.4220,5.8820,4.8130
7.50000,0.945000,5.1980,5.6230,4.6200
7.50000,0.950000,5.1560,5.5750,4.5830
7.50000,0.971000,4.9700,5.3620,4.4230
7.50000,0.976000,4.9450,5.3330,4.4020
7.50000,1.000000,4.8330,5.2010,4.3080
7.50000,1.030000,4.7020,5.0460,4.1990
7.50000,1.050000,4.6370,4.9670,4.1480
7.50000,1.051000,4.6340,4.9630,4.1450
7.50000,1.075000,4.5920,4.9120,4.1130
7.50000,1.099000,4.5550,4.8680,4.0830
7.50000,1.107000,4.5430,4.8540,4.0730
7.50000,1.142000,4.4460,4.7470,3.9870
7.50000,1.149000,4.4120,4.7100,3.9560
7.50000,1.200000,4.1840,4.4600,3.7510
7.50000,1.227000,4.0650,4.3300,3.6430
7.50000,1.250000,3.9600,4.2160,3.5480
7.50000,1.282000,3.8160,4.0590,3.4200
7.50000,1.300000,3.7380,3.9740,3.3510
7.50000,1.322000,3.6370,3.8640,3.2620
7.50000,1.350000,3.5150,3.7300,3.1540
7.50000,1.400000,3.3100,3.5060,2.9740
7.50000,1.450000,3.1320,3.3090,2.8220
7.50000,1.470000,3.0670,3.2360,2.7690
7.50000,1.500000,2.9720,3.1310,2.6880
7.50000,1.550000,2.8200,2.9620,2.5630
7.50000,1.600000,2.6770,2.8010,2.4500
7.50000,1.649000,2.5390,2.6450,2.3420
7.50000,1.674000,2.4730,2.5710,2.2920
7.50000,1.699000,2.4110,2.5000,2.2440
7.50000,1.724000,2.3500,2.4310,2.1970
7.50000,1.749000,2.2920,2.3650,2.1530
7.50000,1.774000,2.2320,2.2980,2.1080
7.50000,1.799000,2.1760,2.2350,2.0650
7.50000,1.824000,2.1240,2.1760,2.0250
7.50000,1.849000,2.0710,2.1170,1.9850
7.50000,1.874000,2.0220,2.0620,1.9470
7.50000,1.899000,1.9740,2.0080,1.9090
7.50000,1.924000,1.9270,1.9560,1.8720
7.50000,1.947000,1.8860,1.9110,1.8390
7.50000,1.993000,1.8070,1.8240,1.7750
7.50000,2.038000,1.7340,1.7430,1.7140
7.50000,2.083000,1.6640,1.6670,1.6560
7.50000,2.129000,1.5980,1.5960,1.6000
7.50000,2.174000,1.5350,1.5270,1.5460
7.50000,2.219000,1.4740,1.4620,1.4930
7.50000,2.265000,1.4150,1.3980,1.4410
7.50000,2.356000,1.3010,1.2770,1.3400
7.50000,2.493000,1.1410,1.1070,1.1960
7.50000,2.538000,1.0920,1.0540,1.1500
7.50000,2.720000,0.8950,0.8460,0.9680
7.50000,2.902000,0.7110,0.6530,0.7960
7.50000,2.907000,0.7060,0.6480,0.7920
7.50000,3.084000,0.5390,0.4720,0.6340
7.50000,3.266000,0.3770,0.3030,0.4820
7.50000,3.274000,0.3710,0.2960,0.4750
7.50000,3.447000,0.2250,0.1430,0.3370
7.50000,3.629000,0.0800,-0.0080,0.2000
7.50000,3.812000,-0.0580,-0.1520,0.0700
7.50000,3.940000,-0.1490,-0.2480,-0.0170
7.50000,3.997000,-0.1890,-0.2900,-0.0550
7.50000,4.177000,-0.3160,-0.4210,-0.1750
7.50000,4.262000,-0.3740,-0.4820,-0.2310
7.50000,4.358000,-0.4380,-0.5490,-0.2920
7.50000,4.387000,-0.4580,-0.5690,-0.3100
7.50000,4.539000,-0.5570,-0.6720,-0.4040
7.50000,4.697000,-0.6570,-0.7760,-0.5000
7.50000,4.722000,-0.6720,-0.7920,-0.5150
7.50000,4.747000,-0.6880,-0.8080,-0.5290
7.50000,4.905000,-0.7880,-0.9110,-0.6250
7.50000,4.954000,-0.8180,-0.9420,-0.6540
7.50000,5.088000,-0.9010,-1.0280,-0.7330
7.50000,5.188000,-0.9620,-1.0910,-0.7920
7.50000,5.271000,-1.0130,-1.1440,-0.8400
7.50000,5.419000,-1.1020,-1.2360,-0.9260
7.50000,5.453000,-1.1230,-1.2580,-0.9460
7.50000,5.568000,-1.1910,-1.3280,-1.0120
7.50000,5.636000,-1.2330,-1.3700,-1.0520
7.50000,5.818000,-1.3420,-1.4820,-1.1570
7.50000,5.926000,-1.4060,-1.5480,-1.2190
7.50000,6.000000,-1.4510,-1.5940,-1.2620
7.50000,6.106000,-1.5150,-1.6600,-1.3240
7.50000,6.200000,-1.5730,-1.7200,-1.3810
7.50000,6.308000,-1.6400,-1.7880,-1.4460
7.50000,6.399000,-1.6970,-1.8460,-1.5010
7.50000,6.473000,-1.7430,-1.8930,-1.5460
7.50000,6.648000,-1.8530,-2.0050,-1.6540
7.50000,6.810000,-1.9570,-2.1100,-1.7560
7.50000,6.959000,-2.0570,-2.2120,-1.8550
7.50000,6.996000,-2.0830,-2.2380,-1.8810
7.50000,7.158000,-2.1950,-2.3510,-1.9920
7.50000,7.355000,-2.3380,-2.4940,-2.1340
7.50000,7.519000,-2.4620,-2.6190,-2.2580
7.50000,7.668000,-2.5860,-2.7430,-2.3830
7.50000,7.802000,-2.7070,-2.8620,-2.5040
7.50000,7.930000,-2.8280,-2.9830,-2.6280
7.50000,8.001000,-2.9020,-3.0550,-2.7020
7.50000,8.060000,-2.9620,-3.1140,-2.7640
7.50000,8.190000,-3.1090,-3.2590,-2.9140
7.50000,8.312000,-3.2580,-3.4050,-3.0680
7.50000,8.406000,-3.3850,-3.5290,-3.2000
7.50000,8.506000,-3.5220,-3.6630,-3.3400
7.50000,8.531000,-3.5530,-3.6940,-3.3730
7.50000,8.578000,-3.5460,-3.6930,-3.3570
7.50000,8.589000,-3.5180,-3.6700,-3.3230
7.50000,8.592000,-3.4910,-3.6470,-3.2900
7.50000,8.594000,-3.4740,-3.6340,-3.2680
7.50000,8.595000,-3.4650,-3.6290,-3.2550
7.50000,8.596000,-3.4630,-3.6270,-3.2510
7.50000,8.596000,-3.4460,-3.6070,-3.2370
7.50000,8.597000,-3.4510,-3.6090,-3.2480
7.50000,8.597000,-3.4810,-3.6350,-3.2840
7.50000,8.597000,-3.5440,-3.6930,-3.3530
7.50000,8.598000,-3.6200,-3.7640,-3.4360
7.50000,8.598000,-3.7050,-3.8430,-3.5280
7.50000,8.598000,-3.7910,-3.9240,-3.6210
7.50000,8.598000,-3.8760,-4.0040,-3.7120
7.50000,8.599000,-3.9770,-4.0990,-3.8220
7.50000,8.599000,-4.0540,-4.1710,-3.9060
