logAge   ,Mass,Gmag,BPmag,RPmag,bp_rp
7.5,0.09,12.796,15.509,11.461,4.048
7.5,0.093,12.75,15.464,11.415,4.049000000000001
7.5,0.1,12.616,15.331,11.281,4.049999999999999
7.5,0.108,12.48,15.198,11.145,4.053000000000001
7.5,0.12,12.305,15.024,10.97,4.0539999999999985
7.5,0.14,11.952,14.55,10.63,3.92
7.5,0.178,11.326,13.637,10.041,3.596
7.5,0.197,11.087,13.297,9.816,3.481
7.5,0.207,10.961,13.117,9.698,3.4190000000000005
7.5,0.22,10.82,12.915,9.566,3.3489999999999984
7.5,0.229,10.721,12.773,9.474,3.2989999999999995
7.5,0.245,10.553,12.541,9.318,3.2230000000000008
7.5,0.254,10.467,12.422,9.238,3.184000000000001
7.5,0.283,10.223,12.09,9.01,3.08
7.5,0.304,10.064,11.872,8.863,3.0090000000000003
7.5,0.346,9.767,11.462,8.59,2.872
7.5,0.35,9.742,11.429,8.566,2.8629999999999995
7.5,0.394,9.492,11.108,8.333,2.7750000000000004
7.5,0.4,9.457,11.064,8.301,2.763
7.5,0.434,9.279,10.833,8.136,2.697000000000001
7.5,0.45,9.203,10.735,8.066,2.6689999999999987
7.5,0.493,8.979,10.444,7.859,2.585000000000001
7.5,0.5,8.949,10.406,7.833,2.5730000000000004
7.5,0.519,8.858,10.286,7.749,2.537
7.5,0.547,8.724,10.117,7.626,2.4910000000000005
7.5,0.55,8.71,10.1,7.613,2.486999999999999
7.5,0.583,8.542,9.886,7.46,2.4259999999999993
7.5,0.6,8.461,9.783,7.385,2.3979999999999997
7.5,0.612,8.399,9.702,7.33,2.372
7.5,0.65,8.169,9.409,7.122,2.287000000000001
7.5,0.676,8.005,9.189,6.978,2.2110000000000003
7.5,0.7,7.848,8.978,6.843,2.135
7.5,0.701,7.821,8.937,6.821,2.1159999999999997
7.5,0.727,7.346,8.25,6.444,1.806
7.5,0.75,6.953,7.707,6.135,1.572
7.5,0.762,6.876,7.615,6.067,1.548
7.5,0.8,6.58,7.257,5.808,1.4489999999999998
7.5,0.829,6.316,6.939,5.58,1.359
7.5,0.85,6.123,6.708,5.414,1.2940000000000005
7.5,0.855,6.066,6.64,5.366,1.274
7.5,0.881,5.811,6.337,5.147,1.1899999999999995
7.5,0.899,5.629,6.123,4.991,1.1320000000000006
7.5,0.921,5.422,5.882,4.813,1.069
7.5,0.945,5.198,5.623,4.62,1.0030000000000001
7.5,0.95,5.156,5.575,4.583,0.992
7.5,0.971,4.97,5.362,4.423,0.9390000000000001
7.5,0.976,4.945,5.333,4.402,0.931
7.5,1.0,4.833,5.201,4.308,0.8929999999999998
7.5,1.03,4.702,5.046,4.199,0.8470000000000004
7.5,1.05,4.637,4.967,4.148,0.819
7.5,1.051,4.634,4.963,4.145,0.8180000000000005
7.5,1.075,4.592,4.912,4.113,0.7989999999999995
7.5,1.099,4.555,4.868,4.083,0.7850000000000001
7.5,1.107,4.543,4.854,4.073,0.7809999999999997
7.5,1.142,4.446,4.747,3.987,0.7599999999999998
7.5,1.149,4.412,4.71,3.956,0.754
7.5,1.2,4.184,4.46,3.751,0.7090000000000001
7.5,1.227,4.065,4.33,3.643,0.6870000000000003
7.5,1.25,3.96,4.216,3.548,0.6680000000000001
7.5,1.282,3.816,4.059,3.42,0.6390000000000002
7.5,1.3,3.738,3.974,3.351,0.6230000000000002
7.5,1.322,3.637,3.864,3.262,0.6019999999999999
7.5,1.35,3.515,3.73,3.154,0.5760000000000001
7.5,1.4,3.31,3.506,2.974,0.5319999999999996
7.5,1.45,3.132,3.309,2.822,0.4870000000000001
7.5,1.47,3.067,3.236,2.769,0.4670000000000001
7.5,1.5,2.972,3.131,2.688,0.4429999999999996
7.5,1.55,2.82,2.962,2.563,0.399
7.5,1.6,2.677,2.801,2.45,0.351
7.5,1.649,2.539,2.645,2.342,0.30299999999999994
